FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7, F8,T3,T4,T5,T6,FZ,CZ,PZ
4.238300e+01,-8.494140e+02,5.146500e+01,-8.408200e+01,1.279300e+01,-1.679700e+01,3.857400e+01,-2.089800e+01,4.863300e+01,3.193400e+01,5.722700e+01,-3.799800e+02,-4.824200e+01,-3.012700e+02,-1.182620e+02,9.375000e+00,1.497070e+02,6.934000e+00,6.777300e+01
3.662100e+01,-8.633790e+02,2.812500e+01,-9.726600e+01,1.220700e+01,-1.709000e+01,3.496100e+01,-3.164100e+01,4.902300e+01,1.982400e+01,5.498000e+01,-3.932620e+02,-4.931600e+01,-3.209960e+02,-1.279300e+02,-1.758000e+00,1.444340e+02,-5.860000e-01,5.839800e+01
2.548800e+01,-8.838870e+02,4.688000e+00,-1.145510e+02,6.348000e+00,-1.152300e+01,2.382800e+01,-5.136700e+01,5.019500e+01,2.246000e+00,6.484400e+01,-4.176760e+02,-2.724600e+01,-3.467770e+02,-1.477540e+02,-2.470700e+01,1.327150e+02,-1.640600e+01,4.179700e+01
3.378900e+01,-8.700200e+02,1.054700e+01,-1.044920e+02,1.191400e+01,-1.865200e+01,3.164100e+01,-4.072300e+01,5.341800e+01,1.386700e+01,7.207000e+01,-3.910160e+02,-2.646500e+01,-3.292970e+02,-1.383790e+02,-1.220700e+01,1.418950e+02,-7.715000e+00,5.341800e+01
5.752000e+01,-8.384770e+02,4.150400e+01,-7.265600e+01,2.871100e+01,-3.320300e+01,5.585900e+01,-1.865200e+01,6.679700e+01,3.427700e+01,8.916000e+01,-3.732420e+02,-3.291000e+01,-3.009770e+02,-1.085940e+02,1.386700e+01,1.634770e+02,1.669900e+01,7.832000e+01
7.519500e+01,-8.153320e+02,6.162100e+01,-4.804700e+01,4.121100e+01,-4.335900e+01,7.343700e+01,7.810000e-01,7.236300e+01,4.882800e+01,1.036130e+02,-3.628910e+02,-4.150400e+01,-2.978520e+02,-8.486300e+01,3.261700e+01,1.778320e+02,3.632800e+01,9.570300e+01
7.529300e+01,-8.035160e+02,6.494100e+01,-4.082000e+01,4.521500e+01,-4.638700e+01,7.304700e+01,6.152000e+00,6.298800e+01,5.341800e+01,7.412100e+01,-3.382810e+02,-7.363300e+01,-2.683590e+02,-8.330100e+01,4.218800e+01,1.769530e+02,3.964800e+01,9.863300e+01
9.863300e+01,-7.673830e+02,9.072300e+01,-6.152000e+00,5.009800e+01,-5.273400e+01,8.769500e+01,2.851600e+01,7.519500e+01,7.734400e+01,1.145510e+02,-3.118160e+02,-7.724600e+01,-2.200200e+02,-6.767600e+01,7.480500e+01,1.994140e+02,6.044900e+01,1.207030e+02
8.789100e+01,-7.819340e+02,7.910200e+01,-2.275400e+01,3.574200e+01,-4.355500e+01,7.724600e+01,1.709000e+01,6.787100e+01,6.093700e+01,1.210940e+02,-3.204100e+02,-7.304700e+01,-2.490230e+02,-8.144500e+01,5.380900e+01,1.866210e+02,4.609400e+01,1.054690e+02
6.904300e+01,-8.133790e+02,5.498000e+01,-5.136700e+01,1.650400e+01,-2.304700e+01,6.084000e+01,-4.688000e+00,6.152300e+01,3.984400e+01,1.078120e+02,-3.565430e+02,-5.224600e+01,-2.905270e+02,-1.050780e+02,2.529300e+01,1.676760e+02,2.216800e+01,8.339800e+01
5.595700e+01,-8.342770e+02,3.730500e+01,-7.373000e+01,8.789000e+00,-1.289100e+01,4.912100e+01,-2.373000e+01,6.054700e+01,3.017600e+01,9.580100e+01,-3.496090e+02,-3.730500e+01,-2.822270e+02,-1.300780e+02,1.933600e+01,1.568360e+02,5.273000e+00,6.972700e+01
4.970700e+01,-8.475590e+02,2.900400e+01,-8.662100e+01,1.230500e+01,-1.425800e+01,4.541000e+01,-4.072300e+01,5.742200e+01,1.240200e+01,8.281200e+01,-3.732420e+02,-3.486300e+01,-3.057620e+02,-1.342770e+02,1.953000e+00,1.519530e+02,-1.074000e+00,5.820300e+01
2.587900e+01,-8.850590e+02,2.480500e+01,-1.197270e+02,8.398000e+00,-1.210900e+01,2.978500e+01,-7.021500e+01,4.248000e+01,-1.904300e+01,5.302700e+01,-4.184570e+02,-3.955100e+01,-3.394530e+02,-1.499020e+02,-3.564500e+01,1.314450e+02,-2.158200e+01,3.115200e+01
3.525400e+01,-8.688480e+02,2.793000e+01,-1.010740e+02,2.002000e+01,-2.636700e+01,4.619100e+01,-6.171900e+01,5.498000e+01,-6.445000e+00,6.337900e+01,-3.972660e+02,-2.246100e+01,-3.221680e+02,-1.247070e+02,-2.119100e+01,1.416990e+02,-1.210900e+01,4.433600e+01
