FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7, F8,T3,T4,T5,T6,FZ,CZ,PZ
2.865230e+02,-7.494140e+02,-3.164100e+01,1.066410e+02,1.855500e+01,-2.002000e+01,6.513700e+01,-1.086910e+02,1.047850e+02,1.103500e+01,1.056640e+02,-3.258790e+02,-4.511700e+01,-3.673830e+02,-7.002000e+01,4.297000e+00,1.345700e+02,-8.310500e+01,6.533200e+01
2.709960e+02,-7.762700e+02,-5.947300e+01,8.691400e+01,9.473000e+00,-1.289100e+01,5.576200e+01,-1.319340e+02,9.980500e+01,-9.668000e+00,1.056640e+02,-3.614260e+02,-2.734400e+01,-4.030270e+02,-8.046900e+01,-2.802700e+01,1.192380e+02,-1.011720e+02,4.502000e+01
2.734380e+02,-7.697270e+02,-4.951200e+01,9.345700e+01,1.748000e+01,-2.343800e+01,6.269500e+01,-1.238280e+02,1.051760e+02,2.930000e-01,1.051760e+02,-3.433590e+02,-2.714800e+01,-4.008790e+02,-7.275400e+01,-1.904300e+01,1.256840e+02,-9.316400e+01,5.556600e+01
2.961910e+02,-7.407230e+02,-1.445300e+01,1.135740e+02,3.388700e+01,-3.857400e+01,7.578100e+01,-1.017580e+02,1.066410e+02,1.835900e+01,1.170900e+02,-3.308590e+02,-3.457000e+01,-3.748050e+02,-5.410200e+01,6.348000e+00,1.465820e+02,-6.787100e+01,7.617200e+01
3.194340e+02,-7.099610e+02,6.152000e+00,1.435550e+02,4.873000e+01,-5.029300e+01,9.326200e+01,-8.359400e+01,1.155270e+02,3.056600e+01,1.452150e+02,-2.973630e+02,-2.988300e+01,-3.433590e+02,-3.164100e+01,2.265600e+01,1.649410e+02,-4.668000e+01,9.492200e+01
3.240230e+02,-6.946290e+02,1.464800e+01,1.561520e+02,4.960900e+01,-5.253900e+01,1.034180e+02,-7.236300e+01,1.204100e+02,3.984400e+01,1.547850e+02,-2.957030e+02,-4.921900e+01,-3.338870e+02,-25,3.369100e+01,1.677730e+02,-3.955100e+01,1.056640e+02
3.352540e+02,-6.688480e+02,4.462900e+01,1.783200e+02,5.869100e+01,-6.308600e+01,1.205080e+02,-4.834000e+01,1.302730e+02,5.859400e+01,1.638670e+02,-2.537110e+02,-6.718800e+01,-3.120120e+02,-2.734000e+00,5.752000e+01,1.814450e+02,-2.138700e+01,1.269530e+02
3.294920e+02,-6.768550e+02,2.509800e+01,1.714840e+02,4.785200e+01,-5.419900e+01,1.107420e+02,-5.752000e+01,1.240230e+02,5.234400e+01,1.512700e+02,-2.565430e+02,-7.128900e+01,-3.099610e+02,-9.375000e+00,4.609400e+01,1.731450e+02,-3.320300e+01,1.149410e+02
3.108400e+02,-7.051760e+02,-6.738000e+00,1.496090e+02,2.998000e+01,-3.544900e+01,8.095700e+01,-7.871100e+01,9.599600e+01,3.681600e+01,1.346680e+02,-2.833980e+02,-5.888700e+01,-3.251950e+02,-2.998000e+01,2.861300e+01,1.543950e+02,-5.752000e+01,8.701200e+01
2.908200e+02,-7.287110e+02,-3.388700e+01,1.410160e+02,1.084000e+01,-1.416000e+01,5.312500e+01,-9.394500e+01,7.812500e+01,2.763700e+01,1.124020e+02,-3.076170e+02,-5.371100e+01,-3.486330e+02,-5.644500e+01,1.240200e+01,1.404300e+02,-7.861300e+01,6.757800e+01
2.861330e+02,-7.480470e+02,-3.076200e+01,1.253910e+02,1.357400e+01,-1.650400e+01,4.345700e+01,-1.063480e+02,7.421900e+01,1.884800e+01,1.109380e+02,-3.446290e+02,-4.384800e+01,-3.720700e+02,-6.669900e+01,6.840000e-01,1.379880e+02,-8.408200e+01,5.654300e+01
2.664060e+02,-7.778320e+02,-4.941400e+01,8.681600e+01,1.005900e+01,-1.503900e+01,3.710900e+01,-1.302730e+02,7.636700e+01,-9.766000e+00,1.001950e+02,-3.647460e+02,-2.695300e+01,-3.969730e+02,-7.734400e+01,-2.002000e+01,1.187500e+02,-1.014650e+02,3.759800e+01
2.723630e+02,-7.694340e+02,-4.072300e+01,8.505900e+01,1.923800e+01,-2.636700e+01,4.951200e+01,-1.254880e+02,8.808600e+01,-6.934000e+00,1.092770e+02,-3.334960e+02,-2.470700e+01,-3.931640e+02,-6.923800e+01,-9.570000e+00,1.239260e+02,-9.218800e+01,4.892600e+01
2.969730e+02,-7.373050e+02,-1.074200e+01,1.204100e+02,3.642600e+01,-4.218800e+01,7.187500e+01,-1.025390e+02,1.008790e+02,1.679700e+01,1.256840e+02,-3.172850e+02,-3.427700e+01,-3.713870e+02,-3.994100e+01,9.766000e+00,1.455080e+02,-6.796900e+01,7.451200e+01
3.123050e+02,-7.125000e+02,1.015600e+01,1.357420e+02,5.722700e+01,-6.025400e+01,9.394500e+01,-8.349600e+01,1.099610e+02,3.418000e+01,1.265630e+02,-2.961910e+02,-4.960900e+01,-3.497070e+02,-7.031000e+00,2.373000e+01,1.590820e+02,-4.755900e+01,9.355500e+01
3.075200e+02,-7.060550e+02,1.455100e+01,1.409180e+02,5.810500e+01,-5.986300e+01,1.026370e+02,-7.021500e+01,1.164060e+02,4.716800e+01,1.199220e+02,-2.849610e+02,-4.492200e+01,-3.380860e+02,2.734000e+00,3.125000e+01,1.592770e+02,-4.179700e+01,1.051760e+02
3.328120e+02,-6.690430e+02,3.369100e+01,1.808590e+02,5.517600e+01,-5.810500e+01,1.231450e+02,-3.671900e+01,1.418950e+02,7.949200e+01,1.820310e+02,-2.512700e+02,-4.218800e+01,-3.009770e+02,2.246100e+01,6.103500e+01,1.825200e+02,-1.962900e+01,1.369140e+02
3.249020e+02,-6.801760e+02,2.441400e+01,1.706050e+02,4.619100e+01,-5.185500e+01,1.121090e+02,-5.195300e+01,1.330080e+02,6.250000e+01,1.702150e+02,-2.706050e+02,-5.419900e+01,-3.148440e+02,1.005900e+01,3.515600e+01,1.711910e+02,-3.271500e+01,1.209960e+02
3.024410e+02,-7.124020e+02,-3.418000e+00,1.420900e+02,2.968800e+01,-3.281200e+01,8.652300e+01,-7.304700e+01,1.180660e+02,4.628900e+01,1.367190e+02,-2.959960e+02,-5.156200e+01,-3.407230e+02,-1.914100e+01,2.011700e+01,1.506840e+02,-5.800800e+01,9.609400e+01
2.778320e+02,-7.446290e+02,-2.617200e+01,1.170900e+02,1.728500e+01,-1.953100e+01,7.021500e+01,-9.101600e+01,1.144530e+02,3.359400e+01,1.140630e+02,-3.292970e+02,-4.697300e+01,-3.713870e+02,-4.599600e+01,1.201200e+01,1.331050e+02,-7.832000e+01,7.910200e+01
2.705080e+02,-7.628910e+02,-3.037100e+01,1.033200e+02,1.953100e+01,-2.148400e+01,6.543000e+01,-1.069340e+02,1.126950e+02,1.826200e+01,1.075200e+02,-3.488280e+02,-3.632800e+01,-3.879880e+02,-5.341800e+01,-2.344000e+00,1.289060e+02,-8.554700e+01,6.689500e+01
2.519530e+02,-7.948240e+02,-4.697300e+01,6.630900e+01,1.582000e+01,-1.904300e+01,5.195300e+01,-1.360350e+02,9.970700e+01,-1.054700e+01,8.535200e+01,-3.841800e+02,-3.916000e+01,-4.227540e+02,-6.757800e+01,-3.300800e+01,1.102540e+02,-1.046870e+02,4.277300e+01
2.505860e+02,-7.917970e+02,-5.019500e+01,7.636700e+01,1.835900e+01,-2.441400e+01,5.585900e+01,-1.333010e+02,1.037110e+02,-7.910000e+00,7.627000e+01,-3.817380e+02,-4.824200e+01,-4.224610e+02,-7.246100e+01,-3.037100e+01,1.120120e+02,-1.009770e+02,5.087900e+01
2.829100e+02,-7.495120e+02,-2.060500e+01,1.121090e+02,3.271500e+01,-3.828100e+01,8.574200e+01,-9.970700e+01,1.293950e+02,1.816400e+01,1.190430e+02,-3.184570e+02,-3.828100e+01,-3.682620e+02,-4.521500e+01,6.152000e+00,1.402340e+02,-7.002000e+01,8.593700e+01
3.053710e+02,-7.209960e+02,2.246000e+00,1.376950e+02,4.628900e+01,-5.009800e+01,1.014650e+02,-8.027300e+01,1.314450e+02,3.544900e+01,1.479490e+02,-3.036130e+02,-4.433600e+01,-3.634770e+02,-3.027300e+01,2.138700e+01,1.584960e+02,-4.775400e+01,1.038090e+02
3.067380e+02,-7.100590e+02,2.734000e+00,1.546870e+02,3.916000e+01,-4.209000e+01,9.121100e+01,-6.796900e+01,1.101560e+02,5.029300e+01,1.380860e+02,-3.026370e+02,-6.191400e+01,-3.692380e+02,-4.052700e+01,3.105500e+01,1.600590e+02,-4.423800e+01,1.075200e+02
3.292970e+02,-6.723630e+02,2.714800e+01,1.811520e+02,5.322300e+01,-5.732400e+01,1.094730e+02,-3.974600e+01,1.204100e+02,8.144500e+01,1.492190e+02,-2.495120e+02,-5.439500e+01,-2.923830e+02,-1.621100e+01,7.392600e+01,1.792970e+02,-2.246100e+01,1.332030e+02
3.248050e+02,-6.818360e+02,3.779300e+01,1.705080e+02,4.648400e+01,-5.283200e+01,9.560500e+01,-5.341800e+01,1.137700e+02,6.748000e+01,1.362300e+02,-2.666990e+02,-8.076200e+01,-3.138670e+02,-3.349600e+01,6.074200e+01,1.716800e+02,-3.173800e+01,1.181640e+02
2.942380e+02,-7.189450e+02,6.836000e+00,1.441410e+02,2.802700e+01,-3.339800e+01,7.373000e+01,-8.203100e+01,1.015630e+02,3.789100e+01,1.122070e+02,-3.057620e+02,-7.988300e+01,-3.550780e+02,-6.044900e+01,2.851600e+01,1.466800e+02,-5.830100e+01,9.043000e+01
