FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7, F8,T3,T4,T5,T6,FZ,CZ,PZ
1.945310e+02,-3.721680e+02,7.197300e+01,1.485350e+02,5.634800e+01,-5.908200e+01,7.773400e+01,-6.503900e+01,6.679700e+01,6.718800e+01,1.113280e+02,-4.328120e+02,-1.022460e+02,-1.562500e+02,-3.140620e+02,4.101600e+01,1.858400e+02,8.085900e+01,9.521500e+01
1.780270e+02,-3.984370e+02,5.654300e+01,1.187500e+02,4.218800e+01,-4.697300e+01,6.044900e+01,-8.300800e+01,5.752000e+01,5.107400e+01,8.945300e+01,-4.640620e+02,-1.041020e+02,-1.910160e+02,-3.325200e+02,1.953100e+01,1.657230e+02,6.015600e+01,7.382800e+01
1.510740e+02,-4.322270e+02,3.964800e+01,9.072300e+01,2.724600e+01,-3.203100e+01,4.404300e+01,-1.060550e+02,5.410200e+01,2.959000e+01,5.244100e+01,-4.912110e+02,-1.060550e+02,-2.131840e+02,-3.501950e+02,-5.566000e+00,1.450200e+02,3.710900e+01,5.214800e+01
1.323240e+02,-4.571290e+02,1.884800e+01,7.294900e+01,1.992200e+01,-2.265600e+01,3.877000e+01,-1.224610e+02,6.113300e+01,1.367200e+01,4.316400e+01,-5.167970e+02,-1.059570e+02,-2.313480e+02,-3.632810e+02,-2.802700e+01,1.318360e+02,2.197300e+01,4.003900e+01
1.313480e+02,-4.701170e+02,1.210900e+01,5.605500e+01,2.382800e+01,-2.558600e+01,3.710900e+01,-1.395510e+02,5.400400e+01,-8.008000e+00,5.380900e+01,-5.308590e+02,-9.091800e+01,-2.465820e+02,-3.611330e+02,-4.062500e+01,1.289060e+02,1.709000e+01,2.627000e+01
1.191410e+02,-4.900390e+02,-2.051000e+00,3.603500e+01,1.757800e+01,-2.109400e+01,2.060500e+01,-1.591800e+02,3.642600e+01,-2.529300e+01,4.238300e+01,-5.502930e+02,-8.222700e+01,-2.665040e+02,-3.733400e+02,-5.419900e+01,1.164060e+02,2.344000e+00,6.348000e+00
1.291990e+02,-4.716800e+02,1.259800e+01,5.537100e+01,2.900400e+01,-3.515600e+01,2.578100e+01,-1.434570e+02,3.613300e+01,-8.301000e+00,5.175800e+01,-5.285160e+02,-9.082000e+01,-2.467770e+02,-3.679690e+02,-3.330100e+01,1.296870e+02,1.611300e+01,2.168000e+01
1.513670e+02,-4.432620e+02,3.837900e+01,7.890600e+01,4.736300e+01,-5.146500e+01,3.886700e+01,-125,3.584000e+01,9.180000e+00,7.441400e+01,-5.031250e+02,-9.697300e+01,-2.244140e+02,-3.522460e+02,-1.240200e+01,1.490230e+02,3.916000e+01,4.199200e+01
1.625980e+02,-4.267580e+02,5.380900e+01,9.384800e+01,6.025400e+01,-6.171900e+01,5.351600e+01,-1.094730e+02,3.945300e+01,2.002000e+01,8.828100e+01,-4.945310e+02,-9.550800e+01,-2.092770e+02,-3.334960e+02,-3.125000e+00,1.578120e+02,5.400400e+01,5.537100e+01
1.702150e+02,-4.073240e+02,5.800800e+01,1.145510e+02,6.084000e+01,-6.230500e+01,5.488300e+01,-9.716800e+01,3.398400e+01,2.724600e+01,8.584000e+01,-4.791990e+02,-1.210940e+02,-2.025390e+02,-3.307620e+02,1.950000e-01,1.650390e+02,6.103500e+01,6.318400e+01
