FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7, F8,T3,T4,T5,T6,FZ,CZ,PZ
2.168000e+01,-4.636720e+02,5.634800e+01,1.054700e+01,7.617000e+00,-9.277000e+00,7.314500e+01,9.267600e+01,4.433600e+01,6.582000e+01,6.904300e+01,-1.946290e+02,-1.474600e+01,-2.099600e+01,-4.688000e+00,-6.250000e+00,9.834000e+01,2.273440e+02,8.847700e+01
3.115200e+01,-4.409180e+02,6.787100e+01,3.466800e+01,6.152000e+00,-9.082000e+00,6.494100e+01,1.089840e+02,2.851600e+01,8.046900e+01,7.568400e+01,-1.802730e+02,-25,5.860000e-01,-3.418000e+00,1.503900e+01,1.070310e+02,2.351560e+02,9.609400e+01
3.828100e+01,-4.298830e+02,7.246100e+01,4.736300e+01,6.934000e+00,-1.191400e+01,7.363300e+01,1.187500e+02,3.476600e+01,9.140600e+01,8.955100e+01,-1.633790e+02,-2.734400e+01,9.668000e+00,1.201200e+01,2.031300e+01,1.119140e+02,2.426760e+02,1.055660e+02
1.904300e+01,-4.591800e+02,4.707000e+01,1.845700e+01,-1.054700e+01,4.395000e+00,5.937500e+01,9.912100e+01,3.183600e+01,7.187500e+01,6.660200e+01,-2.093750e+02,-3.105500e+01,-2.285200e+01,-1.123000e+01,-6.152000e+00,9.150400e+01,2.214840e+02,8.535200e+01
-2.051000e+00,-4.855470e+02,2.666000e+01,-3.125000e+00,-2.275400e+01,1.894500e+01,4.003900e+01,7.919900e+01,2.031300e+01,5.019500e+01,4.433600e+01,-2.115230e+02,-2.265600e+01,-3.183600e+01,-3.818400e+01,-2.197300e+01,7.529300e+01,1.992190e+02,6.298800e+01
-1.738300e+01,-5.083010e+02,1.406200e+01,-2.675800e+01,-2.568400e+01,2.363300e+01,3.193400e+01,6.728500e+01,1.884800e+01,4.345700e+01,3.115200e+01,-2.147460e+02,-1.308600e+01,-4.072300e+01,-4.541000e+01,-2.949200e+01,6.435500e+01,1.864260e+02,5.156200e+01
-2.558600e+01,-5.295900e+02,4.004000e+00,-4.804700e+01,-2.578100e+01,2.441400e+01,3.095700e+01,5.097700e+01,2.080100e+01,3.203100e+01,2.031300e+01,-2.475590e+02,-7.520000e+00,-7.343700e+01,-4.970700e+01,-5.146500e+01,5.507800e+01,1.777340e+02,4.072300e+01
-3.886700e+01,-5.505860e+02,-9.473000e+00,-6.562500e+01,-3.027300e+01,2.607400e+01,2.793000e+01,3.515600e+01,2.002000e+01,1.972700e+01,7.715000e+00,-2.709960e+02,6.840000e-01,-8.857400e+01,-5.224600e+01,-6.923800e+01,4.228500e+01,1.655270e+02,2.959000e+01
-1.845700e+01,-5.182620e+02,1.220700e+01,-3.330100e+01,-1.377000e+01,7.129000e+00,4.941400e+01,5.390600e+01,3.535200e+01,3.798800e+01,3.105500e+01,-2.457030e+02,-3.027000e+00,-5.732400e+01,-2.939500e+01,-4.218800e+01,6.220700e+01,1.867190e+02,5.273400e+01
2.930000e+00,-4.884770e+02,3.710900e+01,-6.738000e+00,2.539000e+00,-6.152000e+00,7.099600e+01,75,4.794900e+01,5.488300e+01,5.410200e+01,-2.218750e+02,-1.630900e+01,-3.613300e+01,-7.910000e+00,-2.148400e+01,8.154300e+01,2.111330e+02,7.597700e+01
